"Title","Title_URL","Info","Content","Content1","blokobutton_URL"
"Специалист по подготовке тендерной документации","https://ekaterinburg.hh.ru/vacancy/69947222?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Самара, Кировская","Организовывает работу по заключению договоров (типовых и нетиповых) с контрагентами и вносит необходимые документы в электронный архив. Предоставляет контрагентам заверенные...","Высшее образование. Знание ПК уверенно. Высокая обучаемость. Организованность. Желание расти и развиваться. Опыт работы в коммерческих структурах по подготовке тендерной...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69947222&hhtmFrom=vacancy_search_list"
"Главный специалист по информационным технологиям","https://ekaterinburg.hh.ru/vacancy/69783903?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Нижний Новгород","Поддержание работоспособности и обслуживание ИТ систем на ферме и в офисе. ИТ обеспечение производственного процесса Молочных ферм и офиса.","Исполнительность, коммуникабельность, желание работать в команде и развиваться. Знание компьютерного железа, периферийного оборудования и оргтехники на уровне эксперта.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69783903&hhtmFrom=vacancy_search_list"
"Машинист крана (г.Екатеринбург ВИЗ-Сталь)","https://ekaterinburg.hh.ru/vacancy/70152261?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Екатеринбург","Работа на мостовом электрическом кране по перемещению грузов между агрегатами.","Профильное образование, подтвержденное квалификационным удостоверением. Исполнительская дисциплина.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70152261&hhtmFrom=vacancy_search_list"
"Главный специалист по информационным технологиям","https://ekaterinburg.hh.ru/vacancy/69709777?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Барнаул","Поддержание работоспособности и обслуживание ИТ систем на ферме и в офисе. ИТ обеспечение производственного процесса Молочных ферм и офиса.","Исполнительность, коммуникабельность, желание работать в команде и развиваться. Знание компьютерного железа, периферийного оборудования и оргтехники на уровне эксперта.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69709777&hhtmFrom=vacancy_search_list"
"Сценарист-продюсер","https://ekaterinburg.hh.ru/vacancy/70140431?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Воронеж","Написание сценариев любой сложности (имиджевые, презентационные, рекламные, анимационные видеоролики). Ведение мультимедийных проектов: от идеи до готового продукта и дальнейшей дистрибуции.","Высшее профессиональное образование (журналистика, PR, реклама, маркетинг). Опыт написания текстов разной направленности; высокое качество и креативность. Убедительные навыки деловой коммуникации...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70140431&hhtmFrom=vacancy_search_list"
"Слесарь-ремонтник (5 разряд)","https://ekaterinburg.hh.ru/vacancy/70498565?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Полевской","Техническое обслуживание узлов и механизмов прессового оборудования, агрегатов и машин, монтаж и демонтаж узлов и механизмов. Слесарная обработка сложных деталей.","Опыт работы по данной специальности от 1 года. Опыт работы приветствуется с грузоподъемными механизмами. Наличие удостоверения токаря: 5 разряд.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70498565&hhtmFrom=vacancy_search_list"
"Начальник участка эксплуатации автомобильного транспорта","https://ekaterinburg.hh.ru/vacancy/69422747?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Планирование, организация и выполнение работы технологического транспорта и горно-дорожной техники. Разработка организационно-технических мероприятий по участку. Анализ простоев техники...","Высшее техническое образование. Знание устройства, технических характеристик, конструктивных особенностей, назначения и правил эксплуатации отечественных, импортных автомобилей и горно-дорожной техники.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69422747&hhtmFrom=vacancy_search_list"
"Специалист по закупкам","https://ekaterinburg.hh.ru/vacancy/68662127?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Екатеринбург","Закупка лома. Анализ текущей ситуации на рынке лома и отходов черных металлов. Анализ рыночных цен и определение плановых закупочных цен...","Высшее образование. Опыт работы в закупках от 2-х лет. Уверенный пользователь MS Office (в частности Excel). Умение работать в...","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=68662127&hhtmFrom=vacancy_search_list"
"Менеджер по продажам металлопроката","https://ekaterinburg.hh.ru/vacancy/69806639?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Липецк","Обработка входящего трафика, сопровождение продаж, ведение существующих клиентов, поиск клиентов по уже существующей базе, холодные звонки и переговоры.","Деловая коммуникация, умение анализировать большой поток информации, высокий уровень самоорганизации и ответственности, умение ставить приоритеты и работать в режиме многозадачности.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=69806639&hhtmFrom=vacancy_search_list"
"Машинист экскаватора","https://ekaterinburg.hh.ru/vacancy/70146694?from=vacancy_search_list&hhtmFrom=vacancy_search_list","Томск","Погрузка металлолома на производственной площадке Вторчермет. Обслуживание техники.","Опыт работы. Наличие удостоверения.","https://ekaterinburg.hh.ru/applicant/vacancy_response?vacancyId=70146694&hhtmFrom=vacancy_search_list"
